,Player,Team,Pos.,Positional Value,Overall Value,Current APY,Value Over APY,Injury-Adjusted Value,Injury-Adjusted APY,Injury-Adjusted Value Over APY,2020 Cash Due,Value Over Cash
326,Carlton Davis,Buccaneers,CB,"$5,610,000","$6,066,000","$1,098,279","$4,967,721","$6,103,113","$1,029,637","$5,073,476","$879,374","$5,186,626"
327,Jawaan Taylor,Jaguars,RT,"$5,998,000","$6,064,000","$1,960,856","$4,103,144","$5,998,000","$1,960,856","$4,037,144","$851,519","$5,212,481"
328,Jason Kelce,Eagles,C,"$6,058,000","$6,061,000","$8,166,667","($2,105,667)","$6,058,000","$8,166,667","($2,108,667)","$11,000,000","($4,939,000)"
329,Justin Reid,Texans,S,"$5,990,000","$6,059,000","$1,015,856","$5,043,144","$6,355,188","$952,365","$5,402,823","$849,957","$5,209,043"
330,Isaac Seumalo,Eagles,LG,"$5,566,000","$5,997,000","$5,626,000","$371,000","$5,566,000","$5,626,000","($60,000)","$3,990,000","$2,007,000"
331,Jordan Hicks,Cardinals,ILB,"$5,498,000","$5,994,000","$8,500,000","($2,506,000)","$5,498,000","$8,500,000","($3,002,000)","$7,000,000","($1,006,000)"
332,James Bradberry,Panthers,CB,"$5,490,000","$5,988,000","$990,209","$4,997,791","$5,990,676","$928,321","$5,062,355","$16,000,000","($10,012,000)"
333,Denico Autry,Colts,43DT,"$5,782,000","$5,988,000","$5,933,333","$54,667","$6,614,679","$5,191,666","$1,423,013","$5,300,000","$688,000"
334,Mark Ingram,Ravens,RB,"$5,986,000","$5,986,000","$5,000,000","$986,000","$6,355,688","$4,687,500","$1,668,188","$4,000,000","$1,986,000"
335,Logan Ryan,Titans,CB,"$5,902,000","$5,965,000","$10,000,000","($4,035,000)","$5,902,000","$10,000,000","($4,098,000)",Free Agent,
336,Terrell Suggs,Chiefs,34OLB,"$5,957,000","$5,957,000","$7,000,000","($1,043,000)","$5,957,000","$7,000,000","($1,043,000)",Free Agent,
337,Bradley Bozeman,Ravens,C,"$5,454,000","$5,939,000","$644,602","$5,294,398","$5,454,000","$644,602","$4,809,398","$750,000","$5,189,000"
338,Anthony Barr,Vikings,43OLB,"$5,470,000","$5,902,000","$13,500,000","($7,598,000)","$5,959,442","$12,656,250","($6,696,808)","$10,100,000","($4,198,000)"
339,Ross Cockrell,Panthers,CB,"$5,375,000","$5,899,000","$3,300,000","$2,599,000","$6,294,925","$2,887,500","$3,407,425",Free Agent,
340,Darren Fells,Texans,TE,"$5,683,000","$5,894,000","$1,500,000","$4,394,000","$5,683,000","$1,500,000","$4,183,000","$4,000,000","$1,894,000"
341,Cornelius Lucas,Bears,LT,"$5,445,000","$5,874,000","$840,000","$5,034,000","$5,445,000","$840,000","$4,605,000","$2,160,000","$3,714,000"
342,Matt Skura,Ravens,C,"$5,708,000","$5,848,000","$645,000","$5,203,000","$7,827,233","$443,438","$7,383,795","$2,133,000","$3,715,000"
343,Dede Westbrook,Jaguars,WR,"$5,370,000","$5,830,000","$769,041","$5,060,959","$5,800,208","$720,976","$5,079,232","$2,133,000","$3,697,000"
344,Jon Feliciano,Bills,RG,"$5,677,000","$5,825,000","$3,625,000","$2,200,000","$5,677,000","$3,625,000","$2,052,000","$3,250,000","$2,575,000"
345,Prince Amukamara,Bears,CB,"$5,772,000","$5,817,000","$9,000,000","($3,183,000)","$6,257,550","$8,437,500","($2,179,950)","$1,187,500","$4,629,500"
346,Michael Bennett,Cowboys,43DE,"$5,802,000","$5,802,000","$8,375,000","($2,573,000)","$5,802,000","$8,375,000","($2,573,000)",Free Agent,
347,Jon Bostic,Redskins,ILB,"$5,800,000","$5,800,000","$895,000","$4,905,000","$5,800,000","$895,000","$4,905,000","$2,910,000","$2,890,000"
348,Mike McGlinchey,49ers,RT,"$5,315,000","$5,760,000","$4,585,469","$1,174,531","$6,844,135","$3,439,102","$3,405,033","$2,237,444","$3,522,556"
349,Andrew Billings,Bengals,43DT,"$5,270,000","$5,745,000","$718,961","$5,026,039","$5,270,000","$718,961","$4,551,039","$3,500,000","$2,245,000"
350,Rock Ya-Sin,Colts,CB,"$5,015,000","$5,741,000","$1,979,114","$3,761,886","$5,454,492","$1,855,419","$3,599,073","$854,839","$4,886,161"
351,Adrian Amos,Packers,S,"$5,266,000","$5,730,000","$9,000,000","($3,270,000)","$5,266,000","$9,000,000","($3,734,000)","$6,650,000","($920,000)"
352,Ryan Kelly,Colts,C,"$5,699,000","$5,699,000","$2,612,747","$3,086,253","$5,699,000","$2,612,747","$3,086,253","$10,350,000","($4,651,000)"
